,0
1138,OXBR
1139,CVMC
1140,MTEK
1141,NVT
1142,UFCS
1143,TMUS
1144,TMDV
1145,WLDN
1146,QD
1147,ML
1148,YCBD$A
1149,ALLY
1150,MNPR
1151,PRLB
1152,HT$E
1153,G
1154,FG
1155,AM
1156,KFFB
1157,QBTS.W
1158,OLO
1159,IGF
1160,BFAC
1161,LINK
1162,AUROW
1163,JBGS
1164,EFIX
1165,TLGY
1166,MOO
1167,GVCI
1168,STNE
1169,TREE
1170,UGE
1171,FLTN
1172,EIC
1173,ISZE
1174,AIXI
1175,RWT$A
1176,MED
1177,AVAC
1178,PW$A
1179,TTWO
1180,BRLI
1181,ADOCR
1182,FNWD
1183,PBFS
1184,THCX
1185,PMT$C
1186,IOSP
1187,GAM
1188,PSCM
1189,LEN
1190,IVOO
1191,NOVA
1192,IDME
1193,MTVR
1194,AMPE
1195,AVY
1196,NUV
1197,XITK
1198,CINF
1199,FTAI
1200,JPM$C
1201,ROCI
1202,MMV
1203,ULH
1204,AEPPZ
1205,GSEW
1206,MBBB
1207,BBW
1208,LBPH
1209,AOSL
1210,CLSC
1211,ARKO
1212,COMT
1213,CCVI
1214,NRIX
1215,CIG.C
1216,AMZN
1217,OIH
1218,INNO
1219,RPD
1220,VRNT
1221,EXPI
1222,EEMX
1223,TKAT
1224,KINS
1225,SPHR
1226,DLR
1227,BIOSU
1228,HLTH
1229,IGE
1230,DSEY
1231,DPG
1232,AVIE
1233,MT
1234,CSTA
1235,ROSS.W
1236,LW
1237,DWACW
1238,BAND
1239,CTVA
1240,ACAQ
1241,FBGX
1242,NXLIW
1243,PLBY
1244,CWI
1245,CSR
1246,VT
1247,GNRC
1248,CBRGU
1249,ECOZ
1250,DIM
1251,ETB
1252,XBAP
1253,LCF
1254,RHE
1255,PLXS
1256,SSXU
1257,MUR
1258,MMIN
1259,XAR
1260,MSCI
1261,REM
1262,DISA
1263,JSPRW
1264,QCLR
1265,CRDO
1266,AMAOW
1267,LEA
1268,PREF
1269,APE
1270,DRIO
1271,KRMA
1272,GOCO
1273,AVGE
1274,QQQN
1275,MMVWW
1276,ELME
1277,JNCE
1278,PARA
1279,HPQ
1280,ROUS
1281,MPLN.W
1282,CURI
1283,ARLP
1284,HYLN
1285,FDT
1286,BEAT
1287,CFIV
1288,SUPV
1289,IGICW
1290,NTLA
1291,PRTK
1292,PWR
1293,MS$A
1294,FDEV
1295,BZQ
1296,SVRA
1297,WIRE
1298,CHNA
1299,IFIN
1300,FREY.W
1301,KTF
1302,OCN
1303,PRTG
1304,WANT
1305,CDE
1306,HCOM
1307,EVGRU
1308,NERD
1309,BHB
1310,IRRX.U
1311,OVL
1312,AGNC
1313,ACDCW
1314,CRK
1315,CREC
1316,JCI
1317,NCA
1318,NWTNW
1319,DVAX
1320,RILYK
1321,FLFR
1322,HNVR
1323,AURCW
1324,EAT
1325,GSDWW
1326,CCZ
1327,CYXT
1328,TKLF
1329,OLMA
1330,YUM
1331,CISO
1332,CLRCW
1333,TLH
1334,HTD
1335,CCLDP
1336,WEBS
1337,BFAM
1338,NQP
1339,PSF
1340,INVZ
1341,FSMD
1342,BRFS
1343,DHX
1344,ORRF
1345,PTH
1346,FTCH
1347,AIMAW
1348,AGIH
1349,PNTM
1350,ACHL
1351,UZD
1352,KYCHW
1353,GJT
1354,WDS
1355,ZD
1356,NHC
1357,EOCW.U
1358,LGSTW
1359,SHAP
1360,WH
1361,VIOO
1362,XSVN
1363,TRNO
1364,MAV
1365,WINA
1366,MDV$A
1367,DDLS
1368,CEV
1369,CADE$A
1370,BJDX
1371,CYD
1372,FIBK
1373,EGRX
1374,VNT
1375,SHNY
1376,PKE
1377,ANAB
1378,NMR
1379,CLVT$A
1380,LTCHW
1381,BRAG
1382,AKO.A
1383,PHM
1384,EMF
1385,UJB
1386,FSNB.U
1387,ONG
1388,SCHE
1389,RE
1390,ZVRA
1391,ACI
1392,NR
1393,VCAR
1394,SMAR
1395,WLDS
1396,GANX
1397,SOHU
1398,FREEW
1399,APXIW
1400,SUSB
1401,PHK
1402,MDYV
1403,GURU
1404,ESEB
1405,GSBD
1406,RGTIW
1407,IBOC
1408,FDRR
1409,APLT
1410,ISVL
1411,MVV
1412,BKCH
1413,OACP
1414,DMB
1415,UBA
1416,GHIXW
1417,GRNAW
1418,SAVE
1419,CTA
1420,ACES
1421,DGS
1422,FTAIN
1423,GTLS
1424,RYH
1425,TIP
1426,RXD
1427,GSMG
1428,VET
1429,GLNG
1430,LXEH
1431,RAFE
1432,BRK.B
1433,FPRO
1434,FRSX
1435,SAJ
1436,DTST
1437,RMR
1438,UBT
1439,FPI
1440,HAUZ
1441,BPOPM
1442,BZ
1443,DWACU
1444,CHX
1445,NYF
1446,ADSE
1447,KWESW
1448,TX
1449,EEMA
1450,HCNEU
1451,PRGO
1452,DPCSU
1453,SWSS
1454,GSDWU
1455,MTVC.U
1456,MOTO
1457,ONEY
1458,SPHQ
1459,PLG
1460,WCLD
1461,FNDF
1462,DWSN
1463,NSTD.W
1464,XLK
1465,HEES
1466,AVTA
1467,QCOM
1468,BSMU
1469,ZTEK
1470,CXSE
1471,PZC
1472,TKR
1473,FRC
1474,MEDX
1475,PHO
1476,FCVT
1477,CTR
1478,MCAF
1479,NGE
1480,KNDI
1481,DRIV
1482,UFPI
1483,DAM
1484,KORE.W
1485,NKTR
1486,VGT
1487,UKOMW
1488,EAOA
1489,PTF
1490,SJB
1491,CBH
1492,HBAN
1493,CNGL
1494,HMAC
1495,PPHPW
1496,SPRB
1497,FRD
1498,MMSI
1499,MBLY
1500,GMDA
1501,MCACW
1502,DFIP
1503,GAIN
1504,JHMB
1505,GVA
1506,APPHW
1507,NCV
1508,WTBA
1509,LFST
1510,POTX
1511,SKYU
1512,IMRX
1513,HNRA
1514,SLRX
1515,DGRO
1516,PEGA
1517,FPXI
1518,SPLP$A
1519,FEI
1520,ZSPY
1521,JLS
1522,SPY
1523,ALXO
1524,IOT
1525,BSCO
1526,XYF
1527,NVVEW
1528,COCP
1529,GAME
1530,ENFN
1531,FRXB
1532,CIM$C
1533,WHG
1534,GEMD
1535,EFG
1536,FTII
1537,EQS
1538,CIGI
1539,EOG
1540,SONDW
1541,MAAX
1542,HBI
1543,MDB
1544,TUSK
1545,OARK
1546,SCHP
1547,UJUL
1548,CVKD
1549,OB
1550,TWLO
1551,HBANL
1552,EMPW
1553,HPK
1554,FPXE
1555,NEO
1556,TIVC
1557,VBF
1558,MJUS
1559,RANI
1560,SIGA
1561,ACM
1562,BAPR
1563,SPXC
1564,AVD
1565,CDNS
1566,RYF
1567,HOLI
1568,FLMB
1569,RSP
1570,CCVI.W
1571,ADALW
1572,PLTR
1573,ALSN
1574,PROK
1575,C$N
1576,FLME.U
1577,VYMI
1578,SPCE
1579,PLAB
1580,MJ
1581,QAI
1582,BGS
1583,PLDR
1584,PSNL
1585,VKQ
1586,NSTD
1587,LOMA
1588,BUFB
1589,BFS
1590,LVOXW
1591,ATER
1592,KOSS
1593,MCHP
1594,HWELW
1595,OMFL
1596,SF$D
1597,ADILW
1598,GBR
1599,OTTR
1600,ESGV
1601,RRX
1602,NEWT
1603,BSBR
1604,HD
1605,AFK
1606,F$C
1607,THRD
1608,VMEO
1609,FATH.W
1610,EQBK
1611,LFAC
1612,TGN
1613,HAFC
1614,LRCX
1615,VALU
1616,VSACU
1617,BALY
1618,BODY.W
1619,NESRW
1620,AAON
1621,FMS
1622,VSTA
1623,IAF
1624,B
1625,SIMO
1626,GOEVW
1627,NVTA
1628,NDLS
1629,SFBC
1630,LGMK
1631,TMDX
1632,ANNX
1633,IPO
1634,FATPU
1635,YSBPW
1636,BEDZ
1637,TRCA.W
1638,VALN
1639,LSAK
1640,FAZ
1641,INTR
1642,IWTR
1643,LEAD
1644,PPYAW
1645,QEMM
1646,PETZ
1647,BC$C
1648,ADC
1649,TTOO
1650,GLBZ
1651,PII
1652,FTXO
1653,CUBB
1654,TDSB
1655,AIP
1656,BNNRW
1657,NVO
1658,AFTR.W
1659,LFT
1660,PNM
1661,AWAY
1662,MCAGU
1663,TNDM
1664,VUSB
1665,BML$J
1666,FDP
1667,NTG
1668,NSP
1669,KZR
1670,RJAC.U
1671,SKE
1672,TWO$A
1673,CASS
1674,OBLG
1675,DEEP
1676,BSV
1677,SLAMU
1678,SUPP
1679,COHN
1680,ATKR
1681,USCA
1682,GLQ
1683,CORN
1684,BWEB
1685,KRG
1686,OXLCZ
1687,NAVB
1688,ATSG
1689,STHO
1690,DKNG
1691,EWZS
1692,OEF
1693,FIVR
1694,HYZD
1695,KRYS
1696,VTI
1697,IWL
1698,NXE
1699,OBIL
1700,PW
1701,DOMA
1702,LCFYW
1703,SHAK
1704,SRG
1705,GBRGW
1706,BCLI
1707,AFRM
1708,NCR
1709,PSA$K
1710,LUCY
1711,BIGT
1712,XOS
1713,IGN
1714,PZT
1715,BSMO
1716,JBT
1717,JMEE
1718,MIO
1719,FE
1720,BLHY
1721,JHDV
1722,MIMO.W
1723,CNXA
1724,CALB
1725,BLDP
1726,CXW
